NAME,CLUB,LEAGUE,POSITION,RATING,PACE,SHOOTING,PASSING,DRIBBLING,DEFENDING,PHYSICAL
Moeneeb Josephs,,,,67.97,70.54,56,59.57,61.85,61.22,63.34
Itumeleng Khune,,,,67.97,70.54,56,59.57,61.85,61.22,63.34
Shu-Aib Walters,,,,67.97,70.54,56,59.57,61.85,61.22,63.34
Siboniso Gaxa,,,,67.97,70.54,56,59.57,61.85,61.22,63.34
Tsepo Masilela,,,,67.97,70.54,56,59.57,61.85,61.22,63.34
Aaron Mokoena,Portsmouth,npower League Championship,CDM,74.0,72.0,73,52.0,70.0,55.0,79.0
Anele Ngcongca,KRC Genk,Belgium Pro League,CB,66.0,76.0,58,61.0,67.0,56.0,59.0
Matthew Booth,,,,67.97,70.54,56,59.57,61.85,61.22,63.34
Lucas Thwala,Orlando Pirates,South African FL,LB,63.0,75.0,61,42.0,62.0,54.0,62.0
Bongani Khumalo,,,,67.97,70.54,56,59.57,61.85,61.22,63.34
Siyabonga Sangweni,,,,67.97,70.54,56,59.57,61.85,61.22,63.34
MacBeth Sibaya,,,,67.97,70.54,56,59.57,61.85,61.22,63.34
Lance Davids,Lierse SK,Belgium Pro League,RB,62.0,63.0,49,54.0,49.0,62.0,64.0
Siphiwe Tshabalala,Kaizer Chiefs,South African FL,LW,73.0,64.0,45,58.0,51.0,70.0,76.0
Steven Pienaar,Everton,Barclays Premier League,LM,79.0,83.0,42,63.0,66.0,83.0,88.0
Teko Modise,Orlando Pirates,South African FL,CM,75.0,66.0,32,54.0,55.0,76.0,85.0
Reneilwe Letsholonyane,,,,67.97,70.54,56,59.57,61.85,61.22,63.34
Kagisho Dikgacoi,Fulham,Barclays Premier League,CDM,72.0,78.0,63,68.0,66.0,69.0,62.0
Surprise Moriri,,,,67.97,70.54,56,59.57,61.85,61.22,63.34
Thanduyise Khuboni,,,,67.97,70.54,56,59.57,61.85,61.22,63.34
Katlego Mphela,,,,67.97,70.54,56,59.57,61.85,61.22,63.34
Bernard Parker,FC Twente,Eredivisie,LW,70.0,71.0,30,50.0,59.0,69.0,70.0
